site_name,vacancy_name,vacancy_link,vacancy_city,employer,employer_hh_link,min_salary,max_salary
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/39015808?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,АО ВК Комфорт,https://hh.ru/employer/966757,50000.0,50000.0
HeadHunter (hh.ru),Юрист в отдел банкротства,https://hh.ru/vacancy/38531257?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО ФИНАНСОВЫЕ ТЕХНОЛОГИИ,https://hh.ru/employer/3294127,100000.0,
HeadHunter (hh.ru),Главный юрисконсульт по ПОД/ФТ,https://hh.ru/vacancy/38330843?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва," «РОСБАНК, Societe Generale Group», с опытом работы",https://hh.ru/employer/599?dpt=rosbank-599-opyt,,
HeadHunter (hh.ru),Юрист,https://hh.ru/vacancy/38929639?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Ломбард Юридическая Практика,https://hh.ru/employer/4729307,35000.0,85000.0
HeadHunter (hh.ru),Юрист/Специалист по договорной работе,https://hh.ru/vacancy/38578613?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, Белые Ветры,https://hh.ru/employer/3941,55000.0,55000.0
HeadHunter (hh.ru),Помощник юриста,https://hh.ru/vacancy/38870780?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,АО United Music Group,https://hh.ru/employer/1412211,35000.0,
HeadHunter (hh.ru),Помощник юрисконсульта,https://hh.ru/vacancy/38928240?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ЗАО ФОТОН ТЕЛЕКОМ,https://hh.ru/employer/104949,40000.0,
HeadHunter (hh.ru),Юрисконсульт по договорной работе,https://hh.ru/vacancy/38680458?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, АБН,https://hh.ru/employer/30858,60000.0,
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/38987097?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Московское Учебно-производственное предприятие № 8 Всероссийского общества слепых,https://hh.ru/employer/4793256,40000.0,50000.0
HeadHunter (hh.ru),Ведущий юрисконсульт (интеллектуальная собственность),https://hh.ru/vacancy/38275213?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ПАО «МТС» ,https://hh.ru/employer/3776?dpt=mts-3776-main,,
